team_name,team_number
ikarus,398
TogetherAsOne,399
WePlayGames,400
Ancient,401
EMP,402
AGO,403
Good Fellas,404
LeiSuRe,405
Polaris,406
PRIDE,407
Vesuvius,408
DreamEaters,409
CS-GO.rs,410
passions,411
E-Corp,412
Wargods,413
Eimi Fukada FC,414
Good People,415
Alcoholics Anonymous,416
Alma,417
Vitória,418
Keyd,419
CERUS,420
Ange's Big Toe,421
Playing Ducks,422
VG.Potential,423
Alter Your Ego,424
ProGaming,425
FIVE,426
GUTS,427
BiG MiSTAKE,428
Stifmeister,429
Zone,430
RvN,431
Elite Wolves,432
Denial,433
PELAFUSTANES,434
Orange,435
NeedJobs,436
eUnited,437
Publiclir.se,438
Binary Dragons Gold,439
Saltbae,440
Wisla Krakow,441
Knights,442
Obey.Alliance,443
Sadbots,444
Spawn,445
Baltic Elite,446
Infused,447
BOTS,448
n0_0rg,449
Grayhound,450
breaddren,451
mousesports,452
Ardeont Academy,453
Games Academy,454
Caladrius,455
Sinners,456
Revolt,457
Eastern Vikings,458
CLG,459
OG,460
k1ck,461
Magistra,462
Impunity,463
CAZ,464
Paranoia,465
roughtimes,466
SuperMassive,467
ex-Wild,468
BootKamp,469
Camel Riders,470
FAB,471
Beyond,472
Lynn Vision,473
Bajini Puleni,474
Preparation,475
5FRAGS.EKB,476
Carnage fe,477
TYLOO,478
Rush,479
Bitfix,480
CyberZen,481
Bulldozer,482
Rudy's Players Club,483
InFamous,484
Peeker's Advantage,485
Chaos,486
Eanix,487
Leader-1,488
Heroic,489
Young Blood,490
Just.MSI,491
Carnage,492
Heretics,493
BBSP,494
BlackOut,495
MVP.karnal,496
Fragging for Andy,497
NOTBAD,498
HZ,499
Movistar Riders,500
DeToNator,501
JiJieHao,502
R!OT,503
Force of Nature,504
Vizard,505
TitaNs,506
LaZe,507
ICON,508
Phenomenon,509
Licht,510
Underdogs,511
Kungar,512
Test Takers,513
iNTACT,514
Wings.V,515
RONIN,516
Storm Rider,517
LPSP,518
Paper Rex,519
WeGotGame,520
Dark Tigers,521
Redemption POA,522
Exertus fe,523
Unemployed for Christmas,524
Sentinel,525
ex-Windigo,526
AZIO,527
Innova,528
Heavy KnockOut,529
Content,530
ONEGODLIKE,531
FATE,532
Espada,533
heX,534
Reason,535
CheeseLTD,536
OPAA,537
Mask Off,538
Windigo Academy,539
WeRise,540
Wildcats,541
FMESPORTS,542
BOOT,543
ex-Epiphany,544
Chiefs,545
ROAR,546
Aria,547
madlikewizards,548
Sad Story,549
FLuffy Gangsters,550
ex-Outlaws,551
TNC,552
Mystical,553
Russia,554
Juggernauts,555
cats,556
Turkey,557
Crystal Vision,558
TEAMMATE,559
R-Stars,560
Invictus Aquilas,561
BigGods,562
HeyGuys,563
Team zews,564
ex-iNTACT,565
Recursive,566
Uruguay,567
BLUEJAYS,568
BYNIE,569
District 7,570
Nexus Storm,571
Royal Bandits,572
VECA,573
Squared,574
HYDR,575
ORDER,576
eRa,577
RHD,578
Xtreme Lungiz,579
teamasd,580
Cream,581
Astro,582
BIG,583
Moscow Five Academy,584
