player_name,avg_rating
GeT_RiGhT,1.0558057499765745
Kjaerbye,1.12708656796366
MSL,0.9298316294381695
Pimp,1.059194270794304
TENZKI,1.1002582190920427
Xizt,0.9970054450404939
aizy,1.0681626908864745
allu,1.1228243139812204
f0rest,1.129105035591597
friberg,1.0042228572194802
Happy,1.0564915338887435
NBK-,1.0674721214209677
apEX,1.084617418115317
kennyS,1.1545452964227103
kioShiMa,1.039836214777603
EliGE,1.165752487815485
FNS,0.9318411153481113
FugLy,1.0530255187435134
Hiko,1.0057237200416285
adreN,1.0086121602066684
hazed,0.9985260925841887
jdm64,1.0055275226397902
nitr0,1.069353556365552
reltuC,0.9921583286330925
tarik,1.104544551863606
FalleN,1.1243400102403422
boltz,1.134795906706831
coldzera,1.262056967326837
fer,1.1672722810069291
steel,1.0437561927126597
Furlan,1.106028230142849
GruBy,1.1219253249116747
Hyper,1.0213320683112164
Loord,0.6129079196950933
MICHU,1.1392483921015477
SZPERO,1.1015930223368569
innocent,1.0906596315892294
oskarish,1.0167776105168214
peet,1.0059634555988348
rallen,1.1810071747007078
Maikelele,1.0392895617160833
bubble,1.119308364316608
dennis,1.0846343827400577
dream3r,1.1807425908202192
fox,1.0155480359021838
jkaem,1.0722199145351514
nkl,0.8937974248023539
rain,1.1463890558121101
spyleadeR,1.034739957554309
v1c7oR,1.108021390112243
Skadoodle,1.0785539449702606
freakazoid,1.0310383845086157
n0thing,1.0296653179454442
seang@res,0.8981344177283844
shroud,1.0788383922982727
Ex6TenZ,0.990371331609784
RpK,1.0503758237889758
ScreaM,1.1326295381199907
SmithZz,0.8581611685976217
shox,1.1246087778336311
Edward,1.0030613054441901
GuardiaN,1.0991697090788208
NiKo,1.2478629831617705
Zeus,0.9299286010747879
chrisJ,1.0485355145676607
denis,1.0354869566112543
flamie,1.1024390767877357
gob b,0.9307386298356227
nex,1.1487929296719424
seized,0.9407691142376234
NEO,0.9089151681597664
Snax,1.0079423310222555
TaZ,0.9594515777243758
byali,1.0189674004858291
pashaBiceps,0.96186769178188
NAF,1.1901379199432993
RUSH,1.1004752360810468
ShahZaM,1.101874808621459
daps,0.93747938725373
stanislaw,1.0681075364084218
SEMPHIS,0.9596651855974979
autimatic,1.1882615360877522
roca,1.0072751576980872
sancz,0.8990497337700966
valens,0.3832062917993479
JW,1.0628935602866463
